id,repair_id,detail_repair_id,nombre,serie,marca,precio,garantia_id,,
3,27,20,MEMORIA RAM,0258901  TIK: 15370,VIPER,865,1,,
4,25,22,SSD,856339   TIK: 15379,WD BLUE,1139,3,,
